"Row.names"	"microfraction"	"picofraction"	"Kingdom"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV_1"	86434	12638	"k:Eukaryota"	"d:Cryptista"	"p:Cryptophyta-Cryptophyta_X"	"c:Cryptophyceae"	"o:Cryptomonadales"	"Unclassified"	"g:Cryptomonas"	"s:Cryptomonas_sp."
"ASV_100"	2526	308	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:CONTH_4"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_101"	98	2071	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Perkinsea"	"c:Perkinsida"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_102"	102	2348	"k:Eukaryota"	"d:Rhizaria"	"p:Rhizaria-Cercozoa"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_103"	144	2334	"k:Eukaryota"	"d:Rhizaria"	"p:Rhizaria-Cercozoa"	"c:Novel-clade-10-12"	"o:Novel-clade-10"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_104"	97	2405	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Bigyra"	"c:Bicoecea"	"o:Pseudodendromonadales"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_105"	1782	577	"k:Eukaryota"	"d:Cryptista"	"p:Cryptophyta-Cryptophyta_X"	"c:Cryptophyceae"	"o:Cryptomonadales"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_106"	176	2733	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Chrysophyceae"	"o:Chrysophyceae_Clade-EC2H"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_107"	0	2499	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Chrysophyceae"	"o:Hibberdiales"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_108"	39	1832	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Perkinsea"	"c:Perkinsida"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_109"	353	2304	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Perkinsea"	"c:Perkinsida"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_11"	22812	10947	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:Spirotrichea"	"o:Choreotrichida"	"f:Strobilidiidae"	"Unclassified"	"Unclassified"
"ASV_110"	509	1803	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Bigyra"	"c:Opalozoa"	"Unclassified"	"f:MAST-12"	"g:MAST-12A"	"s:MAST-12A_sp."
"ASV_113"	1382	665	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Mediophyceae"	"o:Thalassiosirales"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_114"	124	2659	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Chrysophyceae"	"o:Paraphysomonadales"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_115"	30	2199	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Perkinsea"	"c:Perkinsida"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_116"	2236	276	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:CONThreeP"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_117"	1541	821	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:Spirotrichea"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_118"	651	1711	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Perkinsea"	"c:Perkinsida"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_12"	25913	7836	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:Spirotrichea"	"o:Choreotrichida"	"f:Strobilidiidae"	"Unclassified"	"Unclassified"
"ASV_121"	1649	790	"k:Eukaryota"	"d:Haptista"	"p:Centroplasthelida-Centroplasthelida_X"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_122"	1288	977	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Chrysophyceae"	"o:Paraphysomonadales"	"f:Paraphysomonadaceae"	"g:Paraphysomonas"	"s:Paraphysomonas_sp."
"ASV_123"	776	1363	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:Spirotrichea"	"o:Oligotrichida"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_124"	74	1806	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Chrysophyceae"	"o:Chrysophyceae_env_clade-I"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_125"	1877	224	"k:Eukaryota"	"d:Cryptista"	"p:Cryptophyta-Cryptophyta_X"	"c:Cryptophyceae"	"o:Cryptomonadales"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_126"	1580	353	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Mediophyceae"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_127"	1545	808	"k:Eukaryota"	"d:Rhizaria"	"p:Rhizaria-Cercozoa"	"c:Endomyxa"	"o:Vampyrellida"	"f:Leptophryidae"	"Unclassified"	"Unclassified"
"ASV_128"	68	1623	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Perkinsea"	"c:Perkinsida"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_129"	14	1989	"k:Eukaryota"	"d:Stramenopiles"	"p:Stramenopiles-Gyrista"	"c:Chrysophyceae"	"o:Chrysophyceae_env_clade-I"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_13"	6745	20324	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Ciliophora"	"c:Spirotrichea"	"o:Oligotrichida"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_131"	2051	123	"k:Eukaryota"	"d:Obazoa"	"p:Opisthokonta-Choanoflagellata"	"c:Choanoflagellatea"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_132"	228	1551	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Perkinsea"	"c:Perkinsida"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"
"ASV_133"	1403	327	"k:Eukaryota"	"d:Alveolata"	"p:Alveolata-Chrompodellids"	"c:Colpodellidea"	"o:Colpodellida"	"f:Colpodellida_CHR1"	"Unclassified"	"Unclassified"
