"VarA"	"VarB"	"cor"	"p"	"fdr"
"p:Alveolata-Ciliophora"	"p:Alveolata-Ciliophora"	1	1	1
"p:Alveolata-Ciliophora"	"p:Cryptophyta-Cryptophyta_X"	0.360902559164463	0.18	0.342
"p:Cryptophyta-Cryptophyta_X"	"p:Cryptophyta-Cryptophyta_X"	1	1	1
"p:Alveolata-Ciliophora"	"p:Alveolata-Perkinsea"	0.331591767085886	0	0
"p:Alveolata-Perkinsea"	"p:Cryptophyta-Cryptophyta_X"	0.0495109011734122	0.7	0.886666666666667
"p:Alveolata-Perkinsea"	"p:Alveolata-Perkinsea"	1	1	1
"p:Alveolata-Ciliophora"	"p:Chlorophyta-Chlorophyta_X"	0.365407330303184	0	0
"p:Chlorophyta-Chlorophyta_X"	"p:Cryptophyta-Cryptophyta_X"	0.123523261669149	0.48	0.684
"p:Alveolata-Perkinsea"	"p:Chlorophyta-Chlorophyta_X"	0.324401630501931	0	0
"p:Chlorophyta-Chlorophyta_X"	"p:Chlorophyta-Chlorophyta_X"	1	1	1
"p:Alveolata-Ciliophora"	"p:Stramenopiles-Gyrista"	0.543041369219747	0	0
"p:Cryptophyta-Cryptophyta_X"	"p:Stramenopiles-Gyrista"	0.43573620577591	0.16	0.318139534883721
"p:Alveolata-Perkinsea"	"p:Stramenopiles-Gyrista"	0.576184063193543	0	0
"p:Chlorophyta-Chlorophyta_X"	"p:Stramenopiles-Gyrista"	0.704957293660009	0	0
"p:Stramenopiles-Gyrista"	"p:Stramenopiles-Gyrista"	1	1	1
"p:Alveolata-Ciliophora"	"p:Rhizaria-Cercozoa"	0.267705566497485	0.2	0.367741935483871
"p:Cryptophyta-Cryptophyta_X"	"p:Rhizaria-Cercozoa"	0.277808664158712	0.0800000000000001	0.1824
"p:Alveolata-Perkinsea"	"p:Rhizaria-Cercozoa"	0.469761371867757	0	0
"p:Chlorophyta-Chlorophyta_X"	"p:Rhizaria-Cercozoa"	0.580803704386602	0	0
"p:Rhizaria-Cercozoa"	"p:Stramenopiles-Gyrista"	0.708431489400118	0	0
"p:Rhizaria-Cercozoa"	"p:Rhizaria-Cercozoa"	1	1	1
"p:Alveolata-Ciliophora"	"p:Stramenopiles-Bigyra"	0.460970991385429	0	0
"p:Cryptophyta-Cryptophyta_X"	"p:Stramenopiles-Bigyra"	0.255444635692712	0	0
"p:Alveolata-Perkinsea"	"p:Stramenopiles-Bigyra"	0.776479006815137	0	0
"p:Chlorophyta-Chlorophyta_X"	"p:Stramenopiles-Bigyra"	0.688839602023781	0	0
"p:Stramenopiles-Bigyra"	"p:Stramenopiles-Gyrista"	0.752134924134374	0	0
"p:Rhizaria-Cercozoa"	"p:Stramenopiles-Bigyra"	0.807483807265335	0	0
"p:Stramenopiles-Bigyra"	"p:Stramenopiles-Bigyra"	1	1	1
"p:Alveolata-Ciliophora"	"p:Alveolata-Dinoflagellata"	-0.0866136204462879	0.38	0.585405405405405
"p:Alveolata-Dinoflagellata"	"p:Cryptophyta-Cryptophyta_X"	-0.020481372956752	0.86	1
"p:Alveolata-Dinoflagellata"	"p:Alveolata-Perkinsea"	0.0436117348875302	0.5	0.695121951219512
"p:Alveolata-Dinoflagellata"	"p:Chlorophyta-Chlorophyta_X"	-0.148506890054635	0	0
"p:Alveolata-Dinoflagellata"	"p:Stramenopiles-Gyrista"	-0.0955085827764098	0.02	0.0534375
"p:Alveolata-Dinoflagellata"	"p:Rhizaria-Cercozoa"	-0.119324780808878	0.02	0.0534375
"p:Alveolata-Dinoflagellata"	"p:Stramenopiles-Bigyra"	-0.0164842221148503	0.92	1
"p:Alveolata-Dinoflagellata"	"p:Alveolata-Dinoflagellata"	1	1	1
"p:Alveolata-Alveolata_X"	"p:Alveolata-Ciliophora"	-0.117588081930232	0.06	0.14054794520548
"p:Alveolata-Alveolata_X"	"p:Cryptophyta-Cryptophyta_X"	-0.307371031587188	0	0
"p:Alveolata-Alveolata_X"	"p:Alveolata-Perkinsea"	0.184507530334506	0	0
"p:Alveolata-Alveolata_X"	"p:Chlorophyta-Chlorophyta_X"	-0.0135639910045578	0.64	0.822857142857143
"p:Alveolata-Alveolata_X"	"p:Stramenopiles-Gyrista"	0.0755686143922345	0.3	0.488571428571429
"p:Alveolata-Alveolata_X"	"p:Rhizaria-Cercozoa"	0.0279763900336036	0.72	0.892173913043478
"p:Alveolata-Alveolata_X"	"p:Stramenopiles-Bigyra"	0.192686730616275	0	0
"p:Alveolata-Alveolata_X"	"p:Alveolata-Dinoflagellata"	-0.00772119085484907	0.66	0.842238805970149
"p:Alveolata-Alveolata_X"	"p:Alveolata-Alveolata_X"	1	1	1
"p:Alveolata-Chrompodellids"	"p:Alveolata-Ciliophora"	-0.175689694939701	0.02	0.0534375
"p:Alveolata-Chrompodellids"	"p:Cryptophyta-Cryptophyta_X"	0.0548084918121843	0.26	0.4446
"p:Alveolata-Chrompodellids"	"p:Alveolata-Perkinsea"	0.000834474235014275	0.92	1
"p:Alveolata-Chrompodellids"	"p:Chlorophyta-Chlorophyta_X"	-0.178204448556357	0	0
"p:Alveolata-Chrompodellids"	"p:Stramenopiles-Gyrista"	0.00581141531589836	0.94	1
"p:Alveolata-Chrompodellids"	"p:Rhizaria-Cercozoa"	0.00239214518061202	0.94	1
"p:Alveolata-Chrompodellids"	"p:Stramenopiles-Bigyra"	-0.0164666811563918	0.72	0.892173913043478
"p:Alveolata-Chrompodellids"	"p:Alveolata-Dinoflagellata"	0.0987803592154889	0.16	0.318139534883721
"p:Alveolata-Alveolata_X"	"p:Alveolata-Chrompodellids"	0.122728724552979	0.34	0.533394495412844
"p:Alveolata-Chrompodellids"	"p:Alveolata-Chrompodellids"	1	1	1
"p:Alveolata-Ciliophora"	"p:Opisthokonta-Choanoflagellata"	-0.09694534659622	0.22	0.396
"p:Cryptophyta-Cryptophyta_X"	"p:Opisthokonta-Choanoflagellata"	0.11501820731798	0.1	0.216455696202532
"p:Alveolata-Perkinsea"	"p:Opisthokonta-Choanoflagellata"	-0.412637057160105	0	0
