Group.1	X1	X10	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X11	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X12	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X13	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X14	X140	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X8	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X9	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99
d:Alveolata	2275	12940	10191	9751	10396	8621	27452	15108	27073	20121	20605	22113	8452	43218	15934	25964	8166	4017	2106	1672	3264	3838	4397	17286	3334	5643	5999	4184	29758	14009	25062	31072	35555	25822	11614	14718	8258	17578	16227	20686	10693	6390	6481	3794	0	5327	0	8961	10477	10204	13081	10182	4656	9167	8745	11219	4934	12048	8258	10467	7359	11670	18244	9249	17142	11103	8940	16757	12561	7136	9479	15328	8371	12824	10640	10319	5802	5744	3361	6115	12284	11334	7754	9424	9134	9718	10049	9241	7733	16462	13501	14444	5650	5476	10591	6964	9132	12075	11361	9621	8151	8083	9004	8064	3239	3053	4158	7067	3791	15306	22369	7992	11172	10511	12721	11728	15320	13395	5171	17037	12081	19088	3957	22020	23865	3984	7604	26702	15208	5920	7065	8585	4418	13483	8848	11086	8325	16363	18286	13728
d:Amoebozoa	0	0	0	0	0	0	0	45	0	0	0	0	0	0	3	0	0	0	0	65	0	0	0	0	0	0	33	93	166	0	0	0	0	0	6	0	0	0	14	5	0	2	0	0	0	0	0	0	3	0	0	0	19	0	0	28	21	6	0	5	0	0	0	0	0	0	0	0	86	13	0	20	7	3	12	3	0	23	16	54	22	5	0	26	0	5	19	0	25	21	0	12	32	59	22	5	12	2	24	0	4	0	0	15	12	132	33	0	16	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	53	0	0	0	0	54	0	0
d:Archaeplastida	710	367	2407	1378	3114	126	193	206	87	234	131	179	73	810	64	1336	2472	5248	6299	7495	11520	19288	14216	58	9510	7997	16155	7119	17395	3769	469	28	423	148	56	110	426	397	269	494	416	943	261	245	0	309	0	253	504	410	625	262	2050	211	694	1557	617	1262	657	818	308	154	767	1431	1028	1092	495	915	352	333	631	461	634	499	798	794	315	461	341	667	758	842	875	1190	1163	1295	907	939	680	1329	1131	521	442	205	326	189	1311	114	75	972	501	643	355	398	273	678	495	508	1013	974	241	634	948	1023	818	1068	290	2022	1137	58	776	256	678	180	407	1186	311	1275	1536	1086	1346	3449	559	8021	3758	921	3390	848	1195	1272
d:CRuMs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	8	0	0	0	0	0	0	3	0	22	0	0	2	0	0	0	0	0	0	0	0	0	0	0	15	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d:Cryptista	2867	4262	822	5527	2131	2154	1820	925	1579	575	1757	702	4587	4073	3295	10158	909	960	2213	550	1054	725	703	5530	2174	1904	743	1131	1958	4313	669	1534	2510	2895	5152	4453	3029	2008	2037	3468	1155	4750	740	478	0	2346	0	3113	5629	6280	8239	12768	13216	14290	12366	12846	8123	7862	5242	6454	4650	5507	10001	6327	6506	4556	8129	19443	10493	6109	9878	8942	10247	11783	5515	12250	4511	5518	3908	3515	15891	4950	7107	6678	10075	4401	9978	6190	6639	8281	4247	5082	10824	4550	4345	5127	4099	4766	7309	20727	6029	8859	5147	4922	4472	3507	3411	4594	3866	625	171	2245	1108	1818	977	5933	3684	4851	7628	600	7174	680	2127	956	212	3194	1929	3014	5825	4508	1751	1834	781	1233	1143	440	1111	687	1071	6932
d:Haptista	1416	134	0	0	0	0	4	0	0	0	0	0	532	0	0	0	0	0	0	0	0	0	0	452	0	0	0	0	0	0	0	0	0	0	169	0	16	0	0	101	0	87	0	0	0	12	0	26	80	142	225	176	30	70	117	172	87	275	307	132	61	0	144	241	0	20	38	19	5	0	0	8	59	75	34	135	98	58	38	31	83	3	42	0	0	229	18	18	12	18	11	31	69	81	87	74	159	45	22	70	12	52	30	38	40	98	112	227	2810	0	0	0	22	0	0	0	85	124	202	95	511	17	32	0	0	51	0	0	0	723	0	96	0	0	12	0	0	0	0	30
d:Obazoa	1028	246	84	114	77	99	27	33	0	0	41	132	108	275	29	542	0	4	209	283	114	110	43	104	133	216	46	547	99	94	145	0	13	4	60	71	157	0	24	30	0	251	68	68	0	129	0	140	78	143	87	53	234	146	238	333	386	145	163	154	108	36	156	325	92	81	94	246	179	82	141	88	173	93	340	185	109	205	140	122	200	81	177	397	128	360	161	255	329	610	695	355	1562	576	25	42	305	44	126	289	52	152	224	248	319	587	746	383	1443	16	36	47	92	420	485	226	72	211	290	75	38	10	113	109	197	67	0	150	560	681	51	145	92	38	32	96	80	0	70	67
d:Rhizaria	1355	612	104	1791	1224	1701	702	841	1080	542	336	222	293	643	537	1226	728	707	922	687	1331	709	590	891	3227	2978	734	1619	612	1805	1882	1828	176	171	402	1740	335	139	468	1229	238	684	986	619	0	862	0	295	278	788	603	382	882	893	515	403	725	239	241	198	208	166	1251	808	626	336	746	2054	990	496	1299	1347	405	316	688	709	258	538	194	242	1472	865	1441	2645	752	567	1040	2004	1003	954	1119	361	4155	378	91	140	883	84	572	1239	373	1019	728	433	813	924	955	615	2160	261	73	646	463	659	950	816	673	902	533	289	1220	422	771	277	109	471	300	323	698	1817	485	783	320	394	368	110	834	969	504	495
d:Stramenopiles	7493	7465	5525	13798	6132	5373	6858	3027	5195	2421	2734	3653	3935	7977	4141	26844	7847	18000	15604	6588	13470	5274	7027	3987	14967	16971	10634	12093	14492	13538	7658	6087	3916	3234	2938	10871	9166	5401	7527	14087	7015	18164	9454	6465	0	6295	0	6036	2917	4749	4542	2576	8991	3966	3034	3807	4045	2976	3606	4632	2434	3990	32134	6009	6358	4153	14189	7289	3300	4725	9180	8118	9585	14439	5637	34329	11208	11749	9669	8390	8152	5111	3070	4838	2265	7013	2675	3675	4047	4185	4280	2644	2899	3084	2053	2252	9288	716	1111	5819	3565	4555	6402	6017	4371	11093	12018	5653	13612	8208	4567	10975	9945	9675	9798	9394	7952	19785	8058	3575	5883	3364	11749	3143	2936	6967	4773	11378	13068	8285	11361	8997	10158	7328	7237	3641	10635	3938	7691	6398
d:Telonemia	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
