Group.1	X1	X10	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X11	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X12	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X13	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X14	X140	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X8	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X9	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99
p:Alveolata-Alveolata_X	47	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	37	0	0	110	35	966	504	75	5	9	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	10	0	10	67	72	69	0	3	29	62	0	0	0	14	0	0	120	113	0	40	0	112	0	0	0	0	0	0	0	0	22	64	0	0	18	26	0	0	0	0	0
p:Alveolata-Apicomplexa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p:Alveolata-Chrompodellids	20	66	0	355	515	25	72	78	679	69	19	0	58	386	28	0	0	0	0	0	165	70	0	79	1010	484	0	0	0	207	116	0	0	532	86	968	1101	1118	1118	3555	850	551	974	291	0	28	0	10	62	0	81	77	201	62	152	789	233	53	97	163	47	77	184	42	55	21	265	580	525	115	274	377	192	173	45	250	145	192	103	51	24	16	13	5	13	10	24	21	60	53	11	0	40	58	14	43	117	73	144	699	204	557	640	432	673	376	278	49	96	0	0	434	208	51	0	0	0	119	33	0	48	336	8	0	36	23	0	7	0	60	42	0	66	15	0	0	0	0	88	13
p:Alveolata-Ciliophora	1927	11693	6013	2952	5445	1159	754	540	5081	2432	428	1256	8273	4012	476	9237	4648	2734	1975	1605	2719	3545	4120	15717	2260	4280	2345	2798	28977	1190	1422	8306	18444	16605	10307	4748	2782	14920	12687	14588	6513	5586	2527	1677	0	4552	0	8411	9418	8913	12514	9486	4168	8820	8332	10236	4511	11905	7963	9918	7095	11210	16194	8970	16723	10918	8112	15202	11522	4395	6917	11988	5284	9926	10415	7852	4530	4381	3041	5988	12166	11310	7715	9407	9077	9213	9954	9204	7664	16314	13404	14405	5047	4215	10274	6730	8556	11852	11118	8779	7901	7463	8203	7452	2323	2557	3764	6758	2941	5040	10717	1778	2579	4035	10047	5949	9090	11604	4939	15406	2884	4729	3511	11682	11525	3769	1779	4966	5168	5566	2017	4857	1547	10128	3831	3352	2684	9034	4256	13562
p:Alveolata-Dinoflagellata	0	11	0	0	57	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	4	0	0	0	0	0	0	0	0	0	44	23	0	19	0	9	0	3	54	0	0	0	0	7	14	35	59	28	33	20	23	48	0	8	4	24	3	0	19	14	0	4	2	15	6	7	38	61	74	17	0	49	15	0	0	0	38	0	0	0	3	0	9	7	0	0	36	4	0	0	0	18	0	12	33	28	8	0	5	3	0	0	0	0	0	0	0	0	0	3	0	14	0	0	7	0	78	0	0	14	0	16	0	0	4	0	0	0	0	0	46	0	0	0	0	0
p:Alveolata-Perkinsea	281	1170	4178	6444	4379	7400	26551	14490	21313	17620	20158	20857	121	38820	15430	16727	3518	1283	131	67	380	223	277	1239	60	879	3654	1386	781	12612	23524	22766	17111	8685	1140	8979	4375	1411	2387	1568	2826	175	2921	1817	0	747	0	528	983	1256	427	591	254	265	238	146	190	82	182	346	214	383	1847	223	359	160	559	960	508	2619	2250	2902	2821	2708	180	2168	1112	1171	217	76	56	8	26	12	41	495	62	9	9	95	50	35	549	1203	303	173	459	138	66	105	38	53	89	105	174	120	113	231	692	10266	11652	5780	8371	6422	2674	5645	6117	1672	152	1631	8959	14023	438	10324	12304	176	5825	21729	10036	272	4942	3728	2805	3322	4945	7734	5641	7329	13942	153
p:Ancyromonadida-Ancyromonadida_X	0	4	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	0	0	0	0	0	4	12	7	0	3	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	4	31	11	0	12	17	33	55	116	0	0	0	0	0	0	5	0	0	21	0	0	0	4	0	0	6	0	0	8	0	0	5	16	7	3	15	0	17	0	0	17	0	18	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p:Apusomonada-Apusomonada_X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p:Centroplasthelida-Centroplasthelida_X	1416	134	0	0	0	0	0	0	0	0	0	0	532	0	0	0	0	0	0	0	0	0	0	452	0	0	0	0	0	0	0	0	0	0	169	0	16	0	0	101	0	87	0	0	0	12	0	26	80	142	225	176	30	70	117	172	87	275	307	132	61	0	144	241	0	20	38	19	5	0	0	8	54	75	34	135	98	58	38	31	83	3	42	0	0	229	18	18	12	18	11	31	69	81	87	74	159	45	22	70	12	52	30	38	40	98	112	227	2810	0	0	0	22	0	0	0	85	124	202	95	511	17	32	0	0	51	0	0	0	723	0	96	0	0	12	0	0	0	0	30
p:Chlorophyta-Chlorophyta_X	710	367	2407	1378	3114	126	193	206	87	234	131	179	73	810	64	1336	2472	5248	6299	7495	11520	19288	14216	58	9510	7997	16155	7119	17395	3769	469	28	423	148	56	110	426	397	269	494	416	943	261	245	0	306	0	246	504	410	621	262	2037	211	694	1557	617	1262	657	818	308	154	767	1415	1028	1092	495	915	352	333	631	461	634	499	775	794	315	461	341	667	758	842	875	1190	1163	1273	907	939	680	1329	1131	521	442	205	326	189	1299	114	75	972	501	643	355	398	273	678	495	501	1013	744	241	634	948	1023	760	1068	266	2022	1132	58	776	256	678	180	407	1186	311	1275	1536	1064	1346	3449	559	8021	3758	921	3390	848	1195	1266
