Group.1	X1	X10	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X11	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X12	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X13	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X14	X140	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X8	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X9	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99
c:Colpodea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	11	0	0	0	0	0	63	9	0	0	0	0	0	32	3	0	21	6	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	23	0	0	0	0	144	0	66	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
c:Colpodellidea	20	66	0	355	515	25	72	78	679	69	19	0	58	386	28	0	0	0	0	0	165	70	0	79	1010	484	0	0	0	207	116	0	0	532	86	968	1101	1118	1118	3555	850	551	974	291	0	28	0	10	62	0	81	77	201	62	152	789	233	53	97	163	47	77	184	42	55	21	265	580	525	115	274	377	192	173	45	250	145	192	103	51	24	16	13	5	13	10	24	21	60	53	11	0	40	58	14	43	117	73	144	699	204	557	640	432	673	376	278	49	96	0	0	434	208	51	0	0	0	119	33	0	48	336	8	0	36	23	0	7	0	60	42	0	66	15	0	0	0	0	88	13
c:CONTH_4	0	185	0	93	0	0	0	0	72	0	0	0	168	0	0	178	0	0	0	0	23	0	0	391	0	0	0	0	53	0	0	112	132	0	100	0	0	0	12	0	0	22	0	0	0	26	0	31	113	142	169	216	94	203	207	198	64	114	60	104	59	55	151	95	50	39	144	242	222	193	216	668	291	234	118	130	181	205	80	68	218	108	24	30	5	73	33	0	11	72	31	178	11	16	108	34	88	46	62	98	28	16	13	6	0	3	0	81	0	14	22	0	42	0	0	86	0	43	36	36	0	37	10	0	42	33	0	0	0	51	0	0	9	32	0	0	0	0	0	11
c:CONTH_5	16	39	0	106	0	41	0	0	0	0	0	0	66	0	0	0	0	0	0	0	30	0	38	99	0	0	0	0	0	0	0	0	0	0	4	53	0	0	0	36	0	0	64	0	0	11	0	55	117	187	74	91	25	278	278	1183	157	99	35	224	166	304	383	60	26	49	528	474	970	38	8	0	5	0	115	0	0	0	0	0	0	25	56	18	66	90	42	38	3	46	23	48	38	97	34	51	202	23	190	154	34	0	14	0	0	14	0	40	8	0	0	0	0	25	0	13	18	21	68	19	0	11	13	15	52	57	0	0	0	65	43	626	26	32	0	0	0	0	94	14
c:CONTH_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	23	47	0	0	85	0	0	0	0	0	0	0	0	377	0	0	71	344	37	145	82	233	97	259	719	0	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	303	160	0	498	0	0	138	229	36	116	510	104	1254	355	236	106	304	240	252	11	102	278	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0
c:CONThreeP	194	1666	111	40	494	87	229	36	46	59	35	8	891	93	10	0	133	103	343	276	640	760	870	923	1197	2936	1413	1813	8230	215	733	639	423	150	404	138	61	0	177	222	133	180	0	0	0	145	0	375	1295	1227	1262	1639	242	1315	1568	1330	423	3597	2503	1049	634	624	884	560	2574	778	622	588	518	412	550	1601	761	584	1156	680	459	421	161	382	2820	2197	721	1437	2305	1715	2804	2500	3444	4446	5724	4754	1152	1684	1571	725	916	1230	489	657	157	357	170	180	89	53	92	743	236	0	274	47	535	239	448	459	29	1421	483	723	66	129	77	112	260	300	7	123	2261	504	322	224	126	2166	772	435	136	345	131	1390
c:Dinophyceae	0	11	0	0	57	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	4	0	0	0	0	0	0	0	0	0	44	23	0	19	0	9	0	3	54	0	0	0	0	7	14	35	59	28	33	20	23	48	0	8	4	24	3	0	19	14	0	4	2	15	6	7	38	61	74	17	0	49	15	0	0	0	38	0	0	0	3	0	9	7	0	0	36	4	0	0	0	18	0	12	33	28	8	0	5	3	0	0	0	0	0	0	0	0	0	3	0	14	0	0	7	0	78	0	0	14	0	16	0	0	4	0	0	0	0	0	46	0	0	0	0	0
c:Gregarinomorphea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c:Heterotrichea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	19	0	0	0	0	0	0	0	0	0	0	11	0	0	5	13	0	0	8	0	16	0	15	0	31	37	34	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	10	0	14	13	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0
c:Litostomatea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	5	0	2	0	2	0	0	10	0	0	0	12	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
