	total_percents
f:Actinocephalidae	0.000559839711670108
f:Alphamonaceae	0.0258770355616405
f:Aspidiscidae	0.00267478973353496
f:Bursariomorphida	0.001181883835748
f:Chilodonellidae	0.242659412802788
f:Colepidae	0.0122542692443346
f:Colpodellida_CHR1	1.68374903505405
f:Colpodida	0.0157377163391708
f:Conchophthiridae	0.000622044124077897
f:Condylostomatidae	0.00945507068598404
f:Cyrtolophosidida	0.00329683385761286
f:Didiniidae	0.000186613237223369
f:Dileptidae	0.00323462944520507
f:Diplopsalidaceae	0.000248817649631159
f:Dysteriidae	0.000808657361301267
f:Foettingeriidae	0.000435430886854528
f:Hartmannulidae	0.0161731472260253
f:Histiobalantiidae	0.0139959927917527
f:Holophryidae	0.00367006033205959
f:Holostichidae	0.0097038883356152
f:Nassulida	0.0247573561383003
f:Orthodonellidae	0.000311022062038949
f:Oxytrichidae	0.177842415073871
f:Parviluciferaceae	0.0838515479257006
f:Pelagostrombidiidae	4.20147262725934
f:Peniculida	1.91527385803585
f:Philasterida	0.0727169581047062
f:Platyophryida	0.00901963979912951
f:Prorocentraceae	0.0042299000437297
f:Sessilida	0.540369730586469
f:Spirofilidae	0.0036078559196518
f:Stentoridae	0.0108235677589554
f:Strobilidiidae	26.6206893119757
f:Strombidiidae	0.00279919855835054
f:Suessiaceae	0.00541178387947771
f:Tetrahymenida	0.000870861773709056
f:Thigmophryidae	0.00130629266056358
f:Thoracosphaeraceae	0.0130629266056358
f:TIN_03	0.105125456969165
f:Tintinnidiidae	10.724351721165
f:Urostylidae	0.0428588401489671
f:Urotrichidae	0.185555762212437
f:Vaginicolidae	0.00292360738316612
Unclassified	53.2042425897439
