	total_percents
g:Alphamonas	0.0258770355616405
g:Apocyrtolophosis	0.000311022062038949
g:Askenasia	7.03015607709117
g:Aspidisca	0.00267478973353496
g:Chilodonella	0.00989050157283857
g:Coleps_1	0.0122542692443346
g:Conchophthirus	0.000622044124077897
g:Cyclidium_3	0.015675511926763
g:Cyrtolophosis	0.00211495002186485
g:Hausmanniella	0.00895743538672172
g:Hemiholosticha	0.00783775596338151
g:Histiobalantium	0.0139959927917527
g:Holosticha	0.0097038883356152
g:Kalometopia	0.00143070148537916
g:Kolkwitziella	0.000248817649631159
g:Linostomella	0.00945507068598404
g:Monocystis	0.000559839711670108
g:Myxophyllum	0.00130629266056358
g:Obertrumia	0.0206518649193862
g:Oxytricha	0.167018847314915
g:Phascolodon	0.189474640194128
g:Prorocentrum	0.0042299000437297
g:Pseudochilodonopsis	0.00167951913501032
g:Pseudocyrtolophosis	0.000186613237223369
g:Pseudouroleptus	0.0036078559196518
g:Rimostrombidium	14.3163455156528
g:Stentor	0.0108235677589554
g:Stylonychia	0.00279919855835054
g:Tintinnidium	0.0477107843167747
g:Tintinnopsis_03	0.105125456969165
g:Trithigmostoma	0.00609603241596339
g:Uroleptus	0.0428588401489671
g:Urotricha	0.184933718088359
g:Vorticella	0.220141415511168
Unclassified	77.5232442338065
