	total_percents
o:Apostomatia	0.000435430886854528
o:Choreotrichida	26.7113211408538
o:Choreotrichida-Tintinnina	10.8299748134334
o:Colpodellida	1.72281340604614
o:Cyrtophoria_4	0.242659412802788
o:Cyrtophoria_7	0.0161731472260253
o:Cyrtophoria_8	0.000808657361301267
o:Euplotia	0.00416769563132191
o:Haptoria_4	0.000186613237223369
o:Hymenostomatia	0.00348344709483623
o:Hypotrichia	2.23425808486299
o:Neogregarinorida	0.000559839711670108
o:OLIGO4	0.149539407428327
o:Oligotrichida	8.809513294016
o:Peniculia	1.91527385803585
o:Peridiniales	0.013311744255267
o:Peritrichia_2	0.543293337969636
o:Prorocentrales	0.0042299000437297
o:Prorodontida	0.185555762212437
o:Rhynchostomatia	0.00323462944520507
o:Scuticociliatia_1	0.0740232507652698
o:Scuticociliatia_2	0.0309777973790793
o:Suctoria	0.00534957946706992
o:Suessiales	0.00597162359114781
o:Synhymenia	0.000311022062038949
Unclassified	46.4925731041806
