Group.1	X1	X10	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X11	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X12	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X13	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X14	X140	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X8	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X9	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99
o:Chaetophorales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o:Chlamydomonadales	608	276	1878	706	2889	0	186	36	5	71	54	50	53	232	6	44	2041	4108	4725	5887	9960	16131	11716	34	7718	5882	13295	6445	15612	2694	122	28	222	78	19	0	190	48	26	23	0	135	0	96	0	57	0	82	160	136	328	28	1753	101	262	685	415	350	352	445	202	119	539	955	492	663	426	611	230	243	437	247	493	314	524	509	160	332	265	496	419	579	523	658	554	730	462	594	303	725	969	363	204	70	237	60	840	31	18	408	188	315	180	208	106	216	240	355	803	73	55	11	355	462	326	590	98	1001	907	18	378	0	118	0	36	238	88	349	733	884	443	2308	110	4488	1209	541	1184	321	749	677
o:Chlorellales	28	0	0	0	88	0	0	13	0	0	11	9	0	0	0	533	72	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	42	0	37	281	225	575	261	110	0	125	0	65	74	64	41	35	66	22	3	8	7	25	36	54	4	7	79	61	126	60	24	95	27	23	15	17	61	67	29	172	31	54	58	17	54	9	22	29	0	91	0	0	0	0	0	0	0	17	0	32	29	26	24	109	101	178	95	132	114	324	170	25	46	0	0	21	79	30	0	35	21	125	41	0	19	0	222	46	46	330	11	139	157	16	0	114	5	0	41	0	0	0	198	86
o:Chlorodendrales	9	70	0	0	0	0	0	0	0	43	0	0	20	0	0	0	0	0	0	0	0	0	0	0	267	293	0	0	0	0	0	0	64	70	0	10	111	171	0	11	0	51	0	0	0	0	0	0	30	0	40	17	12	0	329	707	143	661	101	217	59	0	54	0	60	92	14	22	10	40	91	167	49	70	0	18	24	24	0	24	22	25	129	156	138	0	118	106	155	187	0	64	56	26	69	93	16	50	28	322	177	100	42	32	0	25	30	38	8	0	0	0	0	37	0	91	0	810	123	0	118	0	0	0	0	0	0	0	0	106	20	138	26	418	96	0	54	0	0	152
o:Cladophorales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o:Cyanidiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	4	0	13	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	7	0	230	0	0	0	0	0	0	24	0	5	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0
o:Dolichomastigales	16	7	161	294	137	126	7	109	20	53	66	120	0	575	58	242	0	836	1021	780	383	216	98	24	475	0	140	0	0	227	193	0	0	0	25	100	16	0	33	0	0	0	0	0	0	0	0	0	40	22	64	34	0	46	50	94	20	12	21	0	0	0	14	25	18	26	13	46	36	0	16	0	0	17	52	19	0	7	0	9	127	80	43	135	28	36	63	35	0	0	0	0	66	24	5	0	74	0	0	0	0	0	0	0	0	0	0	36	60	451	130	436	331	342	364	255	75	24	10	40	241	229	0	8	156	4	79	502	270	0	445	870	298	193	293	57	796	0	0	16
o:Mamiellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	66	48	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o:Microthamniales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	780	0	0	0	0	0
o:Monomastigales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	17	0	0	15	0	0	0	0	0	6	27	0	0	0	0	0	0
