	total_percents
g:Aphanochaete	0.00698272212693716
g:Carteria	0.166712490780625
g:Chlamydomonas	4.35329082601239
g:Chlorococcum	0.0890297071184488
g:Chloromonas	0.0170203851844093
g:Chlorosarcinopsis	0.00218210066466786
g:Choricystis	0.215155125536251
g:Cladophora	0.00305494093053501
g:Colemanosphaera	0.32862436009898
g:Crustomastigaceae-AB	6.4568358667522
g:Desmodesmus	1.30271409680671
g:Golenkinia	0.130926039880072
g:Haematococcus	0.0305494093053501
g:Hafniomonas	0.00305494093053501
g:Hariotina	0.00829198252573788
g:Heveochlorella	0.0078555623928043
g:Lagerheimia	0.0135290241209407
g:Micractinium	0.337352762757652
g:Mychonastes	0.051061155553228
g:Myrmecia	0.340407703688187
g:Nannochloris	0.0514975756861616
g:Neochloris	0.0174568053173429
g:Neochlorosarcina	0.00261852079760144
g:Oocystaceae	0.245268114708668
g:Oocystella	0.00741914225987073
g:Oocystis	0.00741914225987073
g:Ostreococcus	0.113032814429795
g:Pandorina	0.779446357419361
g:Pascherina	0.0257487878430808
g:Paulschulzia	0.582184457333386
g:Pedinomonas	0.0872840265867145
g:Phacotus	0.01221976372214
g:Pseudodidymocystis	0.0048006214622693
g:Pseudopediastrum	0.222574267796122
g:Pseudoschroederia	0.00523704159520287
g:Pteromonas	0.294583589730161
g:Radiococcus	0.01221976372214
g:Scenedesmus	0.630190671956079
g:Scotinosphaera	0.00130926039880072
g:Spermatozopsis	25.1395453375055
g:Stigeoclonium	0.00174568053173429
g:Tetraselmis	3.78201687200234
g:Tetrastrum	0.0427691730274901
g:Vitreochlamys	0.00261852079760144
g:Volvox	0.51672143739335
g:Westella	0.0078555623928043
Unclassified	53.5395854881577
