Group.1	X1	X10	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X11	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X12	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X13	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X14	X140	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X8	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X9	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99
f:Abeoformidae_Group_MAIP_2	18	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	27	0	0	0	0	0	0	4	20	18	8	6	0	17	16	47	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
f:Amoebidianae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f:Ichthyophonidae_Freshwater	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	9	0	0	0	0	0	0	3	0	0	0	0	0	5	3	0	0	0	46	84	113	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
f:Monosigidae_Group_A	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	46	33	17	52	0	0	0	0	5	0	0	0	9	6	0	0	0	68	0	0	0	0	0	0	0	0	4	0	84	109	220	70	77	53	57	17	14	5	0	0	13	51	22	3	0	0	0	10	0	0	0	0	0	0	36	18	59	113	44	0	56	80	124	272	404	221	836	41	13	5	0	6	12	37	0	15	17	26	12	24	23	0	18	0	0	0	0	0	0	0	0	11	0	27	8	0	0	0	0	0	0	0	0	0	34	26	4	13	0	0	0	0	0	0
f:Monosigidae_Group_O	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11	9	7	0	0	12	25	22	0	6	0	10	0	0	15	0	5	0	0	0	0	0	0	10	14	14	10	8	0	9	17	0	10	11	0	0	43	9	0	2	0	0	0	12	0	0	0	13	0	7	0	0	5	0	0	0	0	5	8	0	0	0	0	0	0	30	10	0	0	0	0	0	0	23	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f:Salpingoecidae_Group_C1	0	0	0	0	0	0	0	0	0	0	0	21	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	57	0	47	13	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	9	0	35	0	0	0	0	17	0	0	0	0	0	0	0	0	0
f:Salpingoecidae_Group_C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f:Salpingoecidae_Group_C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified	141	81	84	69	77	99	27	33	0	0	41	111	26	117	29	542	0	4	209	283	96	110	43	71	0	216	0	514	82	35	145	0	13	4	46	71	157	0	7	19	0	243	68	0	0	69	0	91	44	108	77	40	29	135	119	175	126	72	61	43	39	14	87	104	38	57	17	87	37	64	106	65	127	56	136	97	54	83	11	16	86	7	100	278	76	148	80	159	188	306	286	131	548	516	4	34	158	38	107	245	52	126	207	211	304	554	713	92	191	16	5	31	92	409	375	45	54	63	85	36	0	10	41	100	197	11	0	150	560	218	0	119	88	25	32	79	80	0	70	57
UnclassifiedClade-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	3	0	0	0	8	0	0	3	0	0	0	1	0	0	40	0	0	10	20	9	0	4	0	0	0	3	0	28	7	42	61	31	72	116	89	54	36	0	0	0	64	0	5	0	14	0	0	103	3	8	3	8	0	0	2	0	6	0	11	3	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	17	0	0	0	0
UnclassifiedGroup_L	861	146	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	183	6	19	17	8	3	0	0	2	0	15	169	25	10	9	13	7	0	0	5	0	0	109	0	0	3	0	0	18	0	4	6	8	78	16	11	9	18	5	3	25	16	0	0	101	0	0	2	0	0	0	0	0	0	0	262	1133	0	31	0	0	11	80	171	18	123	188	12	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	10
UnclassifiedGroup_P	0	5	0	45	0	0	0	0	0	0	0	0	6	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	15	0	4	0	9	0	13	12	0	0	0	12	20	9	5	11	0	0	12	0	0	0	30	0	0	0	0	0	6	10	3	0	0	27	0	0	6	0	0	0	38	0	0	0	14	0	0	0	0	0	0	0	0	0	0	21	8	0	0	16	0	0	0	0	0	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
