Group.1	X1	X10	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X11	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X12	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X13	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X14	X140	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X8	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X9	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99
o:Cercomonadida	0	0	0	0	0	0	0	23	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	40	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	32	0	5	0	0	0	0	0	0	0	0	4	7	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	244	70	0	0	0	7	0	0	0	0	0	6	0	19	0	0	0	0	0	0	61	0	34	0	0	0	0	0	0
o:Cryomonadida	113	68	0	0	233	0	0	0	0	64	21	0	53	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	103	0	21	0	9	0	0	7	0	0	0	3	0	13	23	45	79	68	344	26	58	41	41	34	37	53	6	4	156	252	41	0	171	264	106	84	62	117	174	100	159	139	71	96	16	23	36	0	0	0	0	153	0	0	0	28	0	0	14	16	14	69	239	14	23	48	0	0	4	0	0	2	10	99	181	48	33	12	0	111	74	21	11	199	69	35	187	8	22	0	17	124	20	0	0	97	12	0	0	0	0	29	54	0	38	12
o:Euglyphida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o:Glissomonadida	0	0	104	116	0	11	0	24	0	89	0	0	0	0	0	186	0	0	0	59	0	0	0	0	99	0	147	0	0	61	0	27	67	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	11	0	24	0	0	0	0	0	11	0	0	0	27	17	0	6	0	0	25	0	0	50	0	0	7	10	5	11	0	14	0	0	14	0	0	0	0	0	0	25	0	0	0	0	0	4	0	0	0	6	0	0	8	0	3	6	6	0	16	0	0	0	21	0	255	15	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	31	0	148	0
o:Limnofilida	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o:Novel-clade-10	35	65	0	1438	812	1147	444	279	408	170	246	57	26	480	359	554	230	393	458	126	1101	385	520	43	2616	2653	506	1144	572	205	250	0	0	140	17	1678	210	86	249	461	154	37	448	482	0	16	0	32	0	18	11	9	7	25	18	17	29	2	15	12	17	19	27	0	10	24	58	274	124	94	72	108	15	20	17	21	0	19	3	7	27	21	26	76	29	0	44	35	41	48	38	9	41	20	0	0	14	4	0	26	4	16	14	20	43	51	47	20	77	0	0	161	232	197	384	376	422	131	11	52	130	280	14	110	0	4	128	164	322	14	267	75	167	166	204	14	378	814	110	10
o:Novel-clade-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o:Pansomonadida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	5	0	7	0	8	6	7	0	0	0	0	0	22	0	0	0	19	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	80	0	0	0	0	0
o:Spongomonadida	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	20	29	34	0	18	17	0	33	29	14	0	0	0	8	0	40	48	0	0	24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	32	0	0	0	0	16	19	6	25	23	6	0	16	0	0	13	0	22	65	0	0	0	0	0	0	0	0	10	25	0	0	0	0	0	0	0	32	0	0	41	0	0	0	0	0	0	0	0	0	15
o:Thaumatomonadida	73	61	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	11	0	15	33	36	33	15	179	43	24	50	15	0	0	0	0	0	0	142	0	0	0	0	8	23	32	50	8	21	113	100	34	31	24	34	9	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	82	0	0	9	0	0	0	0	0	0	0	64	107	0	0	0	0	26	0	69	0	105	32	73	579	9	15	0	0	23	22	0	0	209	0	0	0	0	0	0	0	0	0	0
