Group.1	X1	X10	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X11	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X12	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X13	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X14	X140	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X8	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X9	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99
c:Bacillariophyceae	163	17	0	0	49	0	0	0	76	32	0	0	11	0	0	339	0	0	0	0	0	0	33	41	0	0	84	0	0	0	0	0	193	0	34	36	61	35	50	205	0	98	0	0	0	14	0	27	23	18	33	38	305	43	20	119	72	31	44	34	31	33	68	299	142	7	44	83	15	35	50	22	60	39	313	107	84	38	60	90	223	11	73	16	29	244	37	78	116	45	47	31	56	72	29	0	310	0	56	196	43	58	60	70	6	69	46	36	416	0	0	0	140	782	119	36	0	132	63	7	161	0	45	0	46	25	0	0	449	84	0	0	15	0	19	0	0	0	37	113
c:Bicoecea	147	104	1240	2006	2358	2406	3509	1247	2536	576	1027	1611	45	3260	1605	3081	1299	3322	2140	669	2484	608	959	75	1488	1340	1594	1226	1833	1632	614	327	364	711	34	1182	564	764	480	255	345	61	113	299	0	33	0	111	128	213	220	193	83	121	83	105	59	25	48	55	67	49	154	108	262	246	163	593	445	269	252	116	241	123	66	257	50	117	67	115	344	153	153	191	97	68	89	174	121	135	230	111	422	260	3	17	87	52	85	253	17	63	8	17	27	32	56	132	248	315	321	574	471	788	1562	1670	2051	376	83	145	512	604	19	622	374	48	652	1326	1076	83	964	2345	1327	1503	829	556	728	414	286	73
c:Bolidophyceae	0	0	0	0	0	0	19	32	0	4	0	0	0	10	15	0	0	0	37	0	48	17	25	0	47	42	47	39	48	0	0	30	8	0	0	35	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	30	20	0	12	21	0	0	0	0	10	0	14	0	0	0	42	18	0	3	11	0	0	0	0	16	0	0	0
c:Chrysophyceae	816	2123	3308	10830	2413	2105	1471	972	1130	234	767	428	969	1293	1362	5040	3382	13273	12725	4647	8940	4020	4483	1606	9037	8738	6399	9707	10706	10098	5161	4147	741	1584	1093	6982	5054	3237	4335	5437	3307	552	5997	4437	0	445	0	665	587	872	1147	667	1592	1555	1383	2012	2142	562	907	804	686	237	1443	907	980	1201	1129	1416	763	656	784	1031	837	661	1453	2015	751	585	490	418	1021	627	358	334	191	2222	281	186	162	433	545	188	615	357	42	106	1998	39	82	362	108	273	316	392	713	981	937	1376	1639	5935	2723	9411	7130	6384	6292	4456	4659	1694	1835	2130	1700	2170	231	1471	1284	198	2948	6963	7210	1736	9344	5355	7522	4438	4451	2653	8609	2516	1702	631
c:Coscinodiscophyceae	78	220	60	0	0	59	136	0	0	0	24	0	63	120	8	189	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	152	0	144	0	81	86	117	14	0	33	0	0	0	38	0	32	10	16	82	7	146	176	67	24	10	13	3	33	6	7	89	34	627	203	30	15	22	117	40	159	94	185	31	96	113	237	115	67	96	25	121	88	50	16	7	196	46	134	15	31	13	50	66	13	155	0	15	153	36	37	35	9	12	43	38	117	156	0	0	0	0	0	66	127	0	1425	25	27	1284	104	177	0	6	104	0	0	1138	25	23	0	23	20	0	0	99	0	37	817
c:Dictyochophyceae	120	111	0	0	0	21	0	14	145	0	20	0	150	131	0	0	94	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	20	0	48	87	100	131	115	93	71	64	58	62	33	104	39	34	37	80	14	55	7	78	156	77	25	55	96	71	81	0	91	18	36	34	12	25	6	16	38	14	40	35	3	7	9	8	10	5	7	0	6	66	4	0	15	0	0	0	0	0	0	0	85	196	99	0	0	35	0	67	44	54	138	91	16	51	17	7	0	0	29	22	0	0	60	0	0	0	0	0	0	0	0	0	31
c:Eustigmatophyceae	7	2	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	7	4	0	18	16	2	0	0	0	0	0	0	0	0	0	34	0	12	4	8	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	9	0	0	0	0	6	0	0	0	0	0	0	31	5	0	0	0	12	0	0	8	0	0	0	0	0	55	3
c:Mediophyceae	5147	4247	28	243	569	0	1523	214	137	1224	607	1272	2485	2028	83	13653	2245	326	177	729	63	351	564	1317	898	1614	0	0	664	0	49	70	1971	269	1044	94	827	812	1149	4689	2123	16476	1930	504	0	5571	0	4748	1677	2772	2430	1143	6172	1507	906	676	1073	1995	1848	3226	1385	3348	29516	3949	3938	1973	12271	3972	1252	3187	7049	5227	7209	12757	2854	29384	9585	9895	8215	6791	5792	4024	1960	3632	1750	3473	1410	2617	3267	2587	2872	2113	1091	1539	1813	2029	5877	469	637	3952	3207	3764	5358	4848	3095	9518	10531	3548	9146	153	294	57	381	609	1093	2423	466	14955	5631	1024	1769	215	11081	829	766	6203	691	875	2563	5836	109	542	215	331	703	145	457	661	5100	4464
c:MOCH-3	0	16	0	0	164	0	0	0	0	70	40	0	0	120	33	0	0	0	0	0	68	46	0	0	461	64	0	310	0	86	0	201	301	41	0	438	221	123	98	1190	551	52	352	93	0	0	0	0	10	0	10	0	0	0	0	0	10	32	38	25	13	12	0	0	0	0	0	11	0	9	0	0	0	0	0	26	0	0	0	0	0	0	17	15	0	0	13	13	27	49	29	0	0	3	15	13	0	0	29	104	38	40	57	41	49	42	32	0	0	0	0	0	0	0	0	15	0	60	0	0	0	0	0	0	0	4	0	219	0	0	19	0	50	272	283	177	276	0	0	0
c:Opalozoa	238	210	189	691	47	377	102	396	803	87	91	212	69	810	874	2665	679	1060	498	340	1702	193	655	152	2928	4866	2430	780	984	1680	1759	1218	186	603	87	1949	2164	284	947	1556	307	195	562	652	0	62	0	77	134	263	290	161	190	197	164	291	221	105	135	143	68	71	300	250	106	88	166	175	102	63	191	150	94	67	305	234	75	133	104	188	228	127	223	322	64	435	220	311	233	644	247	112	427	472	48	41	405	131	100	446	60	87	114	174	166	124	128	164	434	1523	1156	571	1346	843	319	420	583	272	121	163	296	132	42	144	309	104	359	1577	546	145	565	305	436	674	372	89	235	303	474	77
