	total_percents
g:Acanthoceras	0.0201630544364426
g:Acrispumella	0.00237771868354276
g:Amphora	0.00152173995746737
g:Aphanomyces	0.0167391395321411
g:Apoikiospumella	0.401168696287335
g:Archerella	0.000570652484050263
g:Aulacoseira	1.10944353774105
g:Bicosoeca	0.000570652484050263
g:Chromulinospumella	0.0947283123523437
g:Chrysamoeba	0.0157880520587239
g:Chrysosaccus	0.000475543736708553
g:Chrysosphaerella	0.0018070661994925
g:Cocconeis	0.00142663121012566
g:Conticribra	0.0442255675138954
g:Cyclostephanos	0.000760869978733684
g:Cyclotella	4.03774675964498
g:Dinobryon	0.0363315414845334
g:Fragilaria	0.00323369740961816
g:Gomphonema	0.0018070661994925
g:Goniochloris	0.000760869978733684
g:Lepidochromonas	0.144089752222691
g:Mallomonas	0.499511141038664
g:MAST-12A	0.639796543367687
g:MAST-12C	5.22223109903864
g:MAST-2A	1.47076166889221
g:MAST-3J	0.158070738081923
g:Melosira	0.0288179504445383
g:Monodus	0.0114130496810053
g:Nitzschia	0.428845341763773
g:Oikomonas	0.000570652484050263
g:Paramonas	0.00760869978733684
g:Paraphysomonas	1.07691634615019
g:Phytophthora	0.00142663121012566
g:Poteriospumella	1.47884591241626
g:Pseudopedinella	0.21294848529809
g:Saprolegnia	0.00199728369417592
g:Siluania	0.047649482418197
g:Skeletonema	0.00732337354531171
g:Spumella	0.0527853547746493
g:Surirella	0.308437667629167
g:Synura	0.444918720064522
g:Thalassiosira	0.298546357905629
g:Thraustochytriaceae_LAB18	0.00732337354531171
g:Uroglenopsis	0.0148369645853068
g:Urosolenia	0.00418478488303526
Unclassified	81.638495455704
