Group.1	X1	X10	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X11	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X12	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X13	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X14	X140	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X8	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X9	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99
o:Achnanthales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o:Apoikiales	25	14	124	106	0	0	0	0	0	0	21	0	9	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	21	0	35	0	4	27	0	1	105	0	0	9	0	5	13	15	15	1	3	13	36	108	80	6	10	7	9	7	0	30	15	4	6	12	7	0	0	0	0	0	76	0	0	6	5	0	4	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	1	2	7	0	5	11	30	82	112	114	364	254	336	332	183	69	21	18	140	23	30	0	18	11	13	0	0	0	18	92	504	149	89	11	27	96	0	0	0
o:Apostomatia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o:Aulacoseirales	78	220	60	0	0	59	136	0	0	0	24	0	63	120	8	189	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	152	0	141	0	78	86	117	14	0	33	0	0	0	38	0	32	10	16	82	7	139	176	64	24	10	4	0	26	6	7	81	34	621	203	14	15	22	117	40	159	94	185	31	96	113	237	115	60	25	6	83	66	47	11	7	187	41	107	7	31	13	50	66	13	139	0	15	148	36	37	35	9	12	40	38	117	154	0	0	0	0	0	66	127	0	1407	21	27	1284	104	177	0	6	104	0	0	1138	25	23	0	23	0	0	0	99	0	37	814
o:Bacillariales	58	17	0	0	49	0	0	0	76	32	0	0	11	0	0	339	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	193	0	26	36	26	0	50	205	0	98	0	0	0	14	0	20	13	18	18	38	72	43	20	108	72	31	44	26	31	33	44	9	32	7	44	56	9	35	50	19	60	39	70	107	84	28	60	19	46	8	20	6	15	57	28	33	43	6	33	14	56	72	29	0	42	0	32	163	43	58	60	58	6	54	34	17	118	0	0	0	0	0	119	0	0	77	22	7	161	0	34	0	46	15	0	0	449	27	0	0	15	0	0	0	0	0	37	74
o:Bicoecales	12	0	76	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	12	0	0	0	0	0	13	20	31	48	32	17	11	0	14	0	0	0	12	0	8	50	0	0	15	17	54	12	45	5	7	18	9	0	21	4	0	16	6	7	0	0	0	0	5	0	0	0	0	0	0	0	10	0	5	0	0	0	12	0	0	0	3	0	0	0	0	70	0	0	8	0	0	0	0	0	73	5	0	8	0	13	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o:Cercomonadida	0	0	0	0	0	0	0	23	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	40	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	32	0	5	0	0	0	0	0	0	0	0	4	7	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	244	70	0	0	0	7	0	0	0	0	0	6	0	19	0	0	0	0	0	0	61	0	34	0	0	0	0	0	0
o:Chaetocerotales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	14	10	0	0	33	0	0	18	10	4	4	0	8	0	10	5	0	11	0	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	4	0	0	0	3	0	6	0	8	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
o:Choreotrichida	504	3217	3673	1873	3365	550	275	429	4094	1597	327	845	2807	2941	180	5984	3389	1616	1119	862	1443	616	668	2713	168	135	334	706	11658	310	295	5119	9894	10892	1480	2034	1332	10930	8347	9445	3225	650	509	255	0	2691	0	5801	1975	3929	5747	2712	813	2080	1855	3156	1710	3527	3019	2721	1656	1957	5046	3014	10592	6430	3629	10155	5308	1659	5081	7306	2144	6676	3044	4595	2738	2110	2067	4710	8016	7700	3921	4231	2748	3171	3231	3590	1888	5989	6531	6542	2581	1169	6649	3407	3209	8042	6418	2564	3747	3218	2920	1436	437	269	297	2297	435	1133	5801	312	1485	1240	4770	811	2604	3211	911	5462	610	1145	2108	8316	4066	1558	369	1133	0	1936	433	2200	498	2326	736	795	475	2280	1113	8464
o:Choreotrichida-Tintinnina	695	3242	228	206	0	56	65	47	73	38	18	0	2671	0	0	263	0	0	0	36	33	567	189	8030	524	240	0	80	571	50	113	368	757	421	6375	143	144	904	1491	1381	1495	4005	1041	1002	0	736	0	1209	2014	1240	3015	2702	1889	1699	2240	1925	938	2062	899	1205	817	691	2904	3970	2260	2122	1308	1227	522	934	460	1183	963	1403	3099	1070	580	741	372	180	306	831	2621	3367	2412	3356	1826	2558	2088	4325	850	1604	538	688	1164	1616	2511	1707	1840	4117	3307	3457	4425	4702	1151	1491	2405	2405	1428	650	701	90	105	996	225	299	228	4293	2073	666	731	292	613	1603	307	883	537	492	0	1339	0	425	65	0	170	71	0	121	225	2666
