Group.1	X1	X10	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X11	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X12	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X13	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X14	X140	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X7	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X8	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X9	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99
p:Alveolata-Alveolata_X	47	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	37	0	0	110	35	966	504	75	5	9	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	10	0	10	67	72	69	0	3	29	62	0	0	0	14	0	0	120	113	0	40	0	112	0	0	0	0	0	0	0	0	22	64	0	0	18	26	0	0	0	0	0
p:Alveolata-Apicomplexa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p:Alveolata-Chrompodellids	20	66	0	355	515	25	72	78	679	69	19	0	58	386	28	0	0	0	0	0	165	70	0	79	1010	484	0	0	0	207	116	0	0	532	86	968	1101	1118	1118	3555	850	551	974	291	0	28	0	10	62	0	81	77	201	62	152	789	233	53	97	163	47	77	184	42	55	21	265	580	525	115	274	377	192	173	45	250	145	192	103	51	24	16	13	5	13	10	24	21	60	53	11	0	40	58	14	43	117	73	144	699	204	557	640	432	673	376	278	49	96	0	0	434	208	51	0	0	0	119	33	0	48	336	8	0	36	23	0	7	0	60	42	0	66	15	0	0	0	0	88	13
p:Alveolata-Ciliophora	1927	11693	6013	2952	5445	1159	754	540	5081	2432	428	1256	8273	4012	476	9237	4648	2734	1975	1605	2719	3545	4120	15717	2260	4280	2345	2798	28977	1190	1422	8306	18444	16605	10307	4748	2782	14920	12687	14588	6513	5586	2527	1677	0	4552	0	8411	9418	8913	12514	9486	4168	8820	8332	10236	4511	11905	7963	9918	7095	11210	16194	8970	16723	10918	8112	15202	11522	4395	6917	11988	5284	9926	10415	7852	4530	4381	3041	5988	12166	11310	7715	9407	9077	9213	9954	9204	7664	16314	13404	14405	5047	4215	10274	6730	8556	11852	11118	8779	7901	7463	8203	7452	2323	2557	3764	6758	2941	5040	10717	1778	2579	4035	10047	5949	9090	11604	4939	15406	2884	4729	3511	11682	11525	3769	1779	4966	5168	5566	2017	4857	1547	10128	3831	3352	2684	9034	4256	13562
p:Alveolata-Dinoflagellata	0	11	0	0	57	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	4	0	0	0	0	0	0	0	0	0	44	23	0	19	0	9	0	3	54	0	0	0	0	7	14	35	59	28	33	20	23	48	0	8	4	24	3	0	19	14	0	4	2	15	6	7	38	61	74	17	0	49	15	0	0	0	38	0	0	0	3	0	9	7	0	0	36	4	0	0	0	18	0	12	33	28	8	0	5	3	0	0	0	0	0	0	0	0	0	3	0	14	0	0	7	0	78	0	0	14	0	16	0	0	4	0	0	0	0	0	46	0	0	0	0	0
p:Alveolata-Perkinsea	281	1170	4178	6444	4379	7400	26551	14490	21313	17620	20158	20857	121	38820	15430	16727	3518	1283	131	67	380	223	277	1239	60	879	3654	1386	781	12612	23524	22766	17111	8685	1140	8979	4375	1411	2387	1568	2826	175	2921	1817	0	747	0	528	983	1256	427	591	254	265	238	146	190	82	182	346	214	383	1847	223	359	160	559	960	508	2619	2250	2902	2821	2708	180	2168	1112	1171	217	76	56	8	26	12	41	495	62	9	9	95	50	35	549	1203	303	173	459	138	66	105	38	53	89	105	174	120	113	231	692	10266	11652	5780	8371	6422	2674	5645	6117	1672	152	1631	8959	14023	438	10324	12304	176	5825	21729	10036	272	4942	3728	2805	3322	4945	7734	5641	7329	13942	153
p:Rhizaria-Cercozoa	1355	612	104	1791	1224	1701	702	841	1080	542	336	222	293	643	537	1226	728	707	922	687	1331	709	590	891	3227	2978	734	1619	612	1805	1882	1828	176	171	402	1740	335	139	468	1229	238	684	986	619	0	862	0	295	278	788	603	382	882	893	515	403	725	239	241	198	208	166	1251	808	626	336	746	2054	990	496	1299	1347	405	316	688	709	258	538	194	242	1472	865	1441	2645	752	567	1040	2004	1003	954	1119	361	4155	378	91	140	883	84	572	1239	373	1019	728	433	813	924	955	615	2160	261	73	646	463	659	950	816	673	902	533	289	1220	422	771	277	109	471	300	323	698	1817	485	783	320	394	368	110	834	969	504	495
p:Stramenopiles-Bigyra	385	335	1429	2697	2405	2783	3611	1666	3339	663	1118	1823	125	4070	2493	5746	1978	4382	2638	1009	4197	801	1614	302	4416	6206	4024	2006	2817	3312	2373	1545	550	1314	133	3131	2728	1048	1427	1811	652	267	675	951	0	95	0	191	274	483	519	367	286	325	252	403	280	130	189	198	135	130	458	371	375	341	342	797	547	332	474	266	351	206	371	491	125	263	184	312	580	280	376	513	167	503	309	485	354	779	477	223	849	732	51	58	492	183	185	699	77	150	122	191	202	159	192	296	682	1838	1477	1145	1817	1650	1881	2090	2634	690	204	308	808	736	61	766	683	162	1011	2903	1622	228	1529	2650	1763	2177	1201	645	963	717	760	156
p:Stramenopiles-Gyrista	7108	7130	4096	11101	3727	2590	3247	1361	1856	1758	1616	1830	3810	3907	1648	21098	5869	13618	12966	5579	9273	4473	5413	3685	10551	10765	6610	10087	11675	10226	5285	4542	3366	1920	2805	7740	6438	4353	6100	12276	6363	17897	8779	5514	0	6200	0	5845	2643	4266	4023	2209	8705	3641	2782	3404	3765	2846	3417	4434	2299	3860	31676	5638	5983	3812	13847	6492	2753	4393	8706	7852	9234	14228	5266	33838	11083	11486	9485	8078	7572	4831	2694	4325	2098	6510	2366	3190	3693	3406	3803	2421	2050	2352	2002	2194	8796	533	926	5120	3488	4405	6280	5826	4169	10934	11826	5357	12930	6370	3090	9830	8128	8025	7917	7304	5318	19095	7854	3267	5075	2628	11688	2377	2253	6805	3762	8475	11446	8057	9832	6347	8395	5151	6036	2996	9672	3221	6931	6242
p:Stramenopiles-Stramenopiles_X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
