	total_percents
c:Bacillariophyceae	0.311883495962885
c:Bicoecea	3.03604886697905
c:Bolidophyceae	0.0273575756408432
c:Chrysophyceae	13.2519811057953
c:Colpodea	0.0167640945908687
c:Colpodellidea	0.987868859124893
c:CONTH_4	0.307460628453805
c:CONTH_5	0.324510069335582
c:CONTH_7	0.312026169108339
c:CONThreeP	4.27812560301697
c:Coscinodiscophyceae	0.428554460658058
c:Dictyochophyceae	0.162540380958699
c:Dinophyceae	0.0495789180453351
c:Endomyxa	0.309565057349254
c:Eustigmatophyceae	0.0131259293817866
c:Filosa-Granofilosea	0.00902407644997826
c:Filosa-Imbricatea	1.68200938004595
c:Filosa-Sarcomonadea	0.102796001299752
c:Filosa-Thecofilosea	0.254243545199388
c:Gregarinomorphea	0.000321014577271954
c:Heterotrichea	0.0116278613545174
c:Litostomatea	0.00196175574999527
c:Mediophyceae	16.0677069679067
c:MOCH-3	0.261662548763006
c:Nassophorea	0.0141959779726931
c:Novel-clade-10-12	1.03445164111569
c:Oligohymenophorea	1.55980983096442
c:Opalozoa	2.3479719547398
c:Perkinsida	20.3834982813236
c:Peronosporomycetes	0.660112975730228
c:Phyllopharyngea	0.152125241340543
c:Pirsoniales	0.110072331717917
c:Prostomatea	0.106398498222471
c:Prostomatea_1	0.00702665241361944
c:Prostomatea_3	0.00210442889544948
c:Sagenista	0.0188328551999546
c:Spirotrichea	28.1582573331322
c:Synchromophyceae	0.107718224817922
Unclassified	3.12867940666519
