	total_percents
f:Actinocephalidae	0.000321014577271954
f:Allapsidae	0.0167640945908687
f:Alphamonaceae	0.014838007127237
f:Amphifilaceae	0.00178341431817752
f:Amphitraemidae	0.000214009718181303
f:Apoikiaceae	0.151126529322363
f:Aspidiscidae	0.00153373631363267
f:Aulacoseiraceae	0.416070560430816
f:Bacillariaceae	0.173490544872309
f:Bicoecaceae	0.0320657894408318
f:Bursariomorphida	0.000677697440907458
f:Catenulaceae	0.000570692581816807
f:Cercomonadidae	0.000891707159088761
f:Chaetocerotaceae	0.00756167670907269
f:Chilodonellidae	0.13914198510421
f:Chromulinaceae	0.0357396229362775
f:Chrysamoebaceae	0.00592093553634937
f:Chrysophyceae_Clade-E	0.00823937414998015
f:Chrysosaccaceae	0.0078470229999811
f:Chrysosphaerellaceae	0.000677697440907458
f:Cocconeidaceae	0.000535024295453257
f:Colepidae	0.00702665241361944
f:Colpodellida_CHR1	0.965469175288583
f:Colpodida	0.00902407644997826
f:Conchophthiridae	0.000356682863635504
f:Condylostomatidae	0.00542157952725967
f:Cyphoderiidae	0.000535024295453257
f:Cyrtolophosidida	0.00189041917726817
f:Didiniidae	0.000107004859090651
f:Dileptidae	0.00185475089090462
f:Diplopsalidaceae	0.000142673145454202
f:Dysteriidae	0.000463687722726156
f:Euglyphidae	0.000321014577271954
f:Foettingeriidae	0.000249678004544853
f:Fragilariaceae	0.00131972659545137
f:Glissomonadida_Clade-Y	0.00370950178180924
f:Gomphonemataceae	0.000677697440907458
f:Hartmannulidae	0.00927375445452311
f:Histiobalantiidae	0.00802536443179885
f:Holophryidae	0.00210442889544948
f:Holostichidae	0.00556425267271387
f:Hydrurales_Clade-II	0.00103438030454296
f:Lepidochromonadaceae	0.0540374538407789
f:Leptophryidae	0.219466965994926
f:Limnofilidae	0.0043158626499896
f:MAST-12	2.2842683952945
f:MAST-2	0.554927199244118
f:MAST-3	0.0592806919362208
f:MAST-6	0.00649162811816618
f:Mataza-lineage	0.0293193313908385
f:Melosiraceae	0.0108074907681558
f:Nassulida	0.0141959779726931
f:NC12A-lineage	0.000142673145454202
f:Novel-clade-2	1.53955024430993
f:Novel-Gran-234	0.00470821379998866
f:Ochromonadaceae	0.594483328821295
f:Ochromonadales_clade-XI	0.00167640945908687
f:Ochromonadales_clade-XII	0.00082037058636166
f:op14-lineage	0.0185475089090462
f:Orthodonellidae	0.000178341431817752
f:Oxytrichidae	0.101975630713391
f:Paracercomonadidae	0.0219359961135835
f:Paraphysomonadaceae	0.403872006494482
f:Paraphysomonadales_Clade-EC1Gb	0.0242544347272143
f:Parmales_env_2	0.000963043731815862
f:Parviluciferaceae	0.048080850018066
f:Pedinellales	0.162540380958699
f:Pelagostrombidiidae	2.40914306585329
f:Penardia-lineage	0.000713365727271009
f:Peniculida	1.09822653713372
f:Peregriniidae	0.109251961131555
f:Peronosporales	0.0118062027863352
f:Philasterida	0.0416962267589905
f:Platyophryida	0.00517190152271481
f:Prorocentraceae	0.00242544347272143
f:Protaspa-lineage	0.122377890513342
f:Rhizosoleniaceae	0.00156940459999622
f:Rhogostoma-lineage	0.0124839002272427
f:Sandonidae	0.0246824541635769
f:Saprolegniales	0.558886379030472
f:Sellaphoraceae	0.000107004859090651
f:Sessilida	0.309850403640163
f:Skeletonemaceae	0.00274645804999338
f:sm27-lineage	0.00203309232272238
f:Spirofilidae	0.00206876060908593
f:Spongomonadidae	0.0319587845817412
f:Stentoridae	0.00620628182725778
f:Stephanodiscaceae	1.55859710922806
f:Strobilidiidae	15.2644214907132
f:Strombidiidae	0.00160507288635977
f:Suessiaceae	0.00310314091362889
f:Surirellaceae	0.117527003567899
f:Synuraceae	0.354186083590056
f:Tabellariaceae	0.00103438030454296
f:Telonemia-Group-1	0.000998712018179412
f:Telonemia-Group-2	0.00888140330452406
f:Tetrahymenida	0.000499356009089706
f:Thalassiosiraceae	0.167676614195051
f:Thigmophryidae	0.000749034013634559
f:Thoracosphaeraceae	0.00749034013634559
f:Thraustochytriaceae	0.010236798186339
f:TIN_03	0.0602794039544002
f:Tintinnidiidae	6.14939091050791
f:Tremulidae	0.00164074117272332
f:Urostylidae	0.0245754493044863
f:Urotrichidae	0.106398498222471
f:Vaginicolidae	0.00167640945908687
f:Vampyrellidae	0.0082750424363437
f:Ventrifissuridae	0.00741900356361849
Unclassified	63.1885093902114
