	total_percents
g:Acanthoceras	0.00756167670907269
g:Acrispumella	0.000891707159088761
g:Alphamonas	0.014838007127237
g:Amphora	0.000570692581816807
g:Aphanomyces	0.00627761839998488
g:Apocyrtolophosis	0.000178341431817752
g:Apoikiospumella	0.150448831881456
g:Archerella	0.000214009718181303
g:Askenasia	4.03112271994938
g:Aspidisca	0.00153373631363267
g:Aulacoseira	0.416070560430816
g:Bicosoeca	0.000214009718181303
g:Cercomonas	0.000891707159088761
g:Chilodonella	0.00567125753180452
g:Chromulinospumella	0.0355256132180962
g:Chrysamoeba	0.00592093553634937
g:Chrysosaccus	0.000178341431817752
g:Chrysosphaerella	0.000677697440907458
g:Cocconeis	0.000535024295453257
g:Coleps_1	0.00702665241361944
g:Conchophthirus	0.000356682863635504
g:Conticribra	0.016585753159051
g:Cyclidium_3	0.00898840816361471
g:Cyclostephanos	0.000285346290908404
g:Cyclotella	1.51426142927817
g:Cyphoderia	0.000535024295453257
g:Cyrtolophosis	0.00121272173636071
g:Dinobryon	0.0136252853908763
g:Euglypha	0.000321014577271954
g:Fragilaria	0.00121272173636071
g:Gomphonema	0.000677697440907458
g:Goniochloris	0.000285346290908404
g:Hausmanniella	0.00513623323635126
g:Hemiholosticha	0.00449420408180736
g:Histiobalantium	0.00802536443179885
g:Holosticha	0.00556425267271387
g:Kalometopia	0.00082037058636166
g:Kolkwitziella	0.000142673145454202
g:Lepidochromonas	0.0540374538407789
g:Linostomella	0.00542157952725967
g:Mallomonas	0.187329839981367
g:MAST-12A	0.239940562367604
g:MAST-12C	1.95847426764983
g:MAST-2A	0.551574380325944
g:MAST-3J	0.0592806919362208
g:Melosira	0.0108074907681558
g:Monocystis	0.000321014577271954
g:Monodus	0.00428019436362605
g:Myxophyllum	0.000749034013634559
g:Nitzschia	0.160828303213249
g:Obertrumia	0.0118418710726987
g:Oikomonas	0.000214009718181303
g:Oxytricha	0.0957693488861329
g:Paracercomonas	0.0219359961135835
g:Paramonas	0.00285346290908403
g:Paraphysomonas	0.403872006494482
g:Peregrinia	0.109251961131555
g:Phascolodon	0.108645600263375
g:Phytophthora	0.000535024295453257
g:Poteriospumella	0.554606184666846
g:Prorocentrum	0.00242544347272143
g:Pseudochilodonopsis	0.000963043731815862
g:Pseudocyrtolophosis	0.000107004859090651
g:Pseudopedinella	0.0798612931679894
g:Pseudouroleptus	0.00206876060908593
g:Rimostrombidium	8.20905610657113
g:Sandona	0.00620628182725778
g:Saprolegnia	0.000749034013634559
g:Siluania	0.0178698114681388
g:Skeletonema	0.00274645804999338
g:Spumella	0.0197958989317705
g:Stentor	0.00620628182725778
g:Stylonychia	0.00160507288635977
g:Surirella	0.115672252676994
g:Synura	0.166856243608689
g:Teretomonas	0.00988011532270347
g:Thalassiosira	0.111962750895185
g:Thraustochytriaceae_LAB18	0.00274645804999338
g:Tintinnidium	0.0273575756408432
g:Tintinnopsis_03	0.0602794039544002
g:Tremula	0.00164074117272332
g:Trithigmostoma	0.00349549206362794
g:Uroglenopsis	0.00556425267271387
g:Uroleptus	0.0245754493044863
g:Urosolenia	0.00156940459999622
g:Urotricha	0.106041815358835
g:Vampyrella	0.0082750424363437
g:Vorticella	0.126230065440605
Unclassified	80.0667424974435
