	total_percents
o:Achnanthales	0.000535024295453257
o:Apoikiales	0.151126529322363
o:Apostomatia	0.000249678004544853
o:Aulacoseirales	0.416070560430816
o:Bacillariales	0.173490544872309
o:Bicoecales	0.0320657894408318
o:Cercomonadida	0.0228277032726723
o:Chaetocerotales	0.00756167670907269
o:Choreotrichida	15.3163901839449
o:Choreotrichida-Tintinnina	6.20995566075322
o:Chromulinales	0.0861745798543379
o:Chrysophyceae_Clade-EC2H	2.19006845100836
o:Chrysophyceae_Cluster-I	0.0516120103680575
o:Chrysophyceae_Cluster-II	0.0415892218998998
o:Chrysophyceae_env_clade-I	5.46809097267774
o:Chrysosaccales	0.0175844651772304
o:Colpodellida	0.987868859124893
o:Cryomonadida	0.212547318440397
o:Cymbellales	0.000677697440907458
o:Cyrtophoria_4	0.13914198510421
o:Cyrtophoria_7	0.00927375445452311
o:Cyrtophoria_8	0.000463687722726156
o:Euglyphida	0.000856038872725211
o:Euplotia	0.00238977518635788
o:Fragilariales	0.00160507288635977
o:Glissomonadida	0.0659506614862048
o:Haptoria_4	0.000107004859090651
o:Hibberdiales	1.18725457989714
o:Hydrurales	0.0079183595727082
o:Hymenostomatia	0.00199742403635882
o:Hypotrichia	1.281133509606
o:Labyrinthulomycetes	0.0122342222226978
o:Limnofilida	0.0043158626499896
o:Melosirales	0.0108074907681558
o:Nanomonadea	0.0592806919362208
o:Naviculales	0.000677697440907458
o:Neogregarinorida	0.000321014577271954
o:Novel-clade-10	1.03266822679751
o:Novel-clade-12	0.000142673145454202
o:Ochromonadales	1.56166458185533
o:OLIGO4	0.0857465604179752
o:Oligotrichida	5.05141405137874
o:Pansomonadida	0.00941642759997732
o:Paraphysomonadales	1.09184191387464
o:Parmales	0.0273575756408432
o:Peniculia	1.09822653713372
o:Peridiniales	0.00763301328179979
o:Peritrichia_2	0.31152681309925
o:Prorocentrales	0.00242544347272143
o:Prorodontida	0.106398498222471
o:Pseudodendromonadales	2.71521263113891
o:Pseudophyllomitidae	0.00659863297725683
o:Rhabdonematales	0.00103438030454296
o:Rhizosoleniales	0.00156940459999622
o:Rhynchostomatia	0.00185475089090462
o:Scuticociliatia_1	0.042445260772625
o:Scuticociliatia_2	0.0177628066090481
o:Spongomonadida	0.0319587845817412
o:Suctoria	0.00306747262726534
o:Suessiales	0.00342415549090084
o:Surirellales	0.117848018145171
o:Synhymenia	0.000178341431817752
o:Synurales	0.354186083590056
o:Thalassiophysales	0.000570692581816807
o:Thalassiosirales	1.92804921938172
o:Thaumatomonadida	0.109251961131555
o:Tremulida	0.00164074117272332
o:Vampyrellida	0.307175282162896
o:Ventricleftida	0.00741900356361849
Unclassified	49.7900743006073
