Sample	Region	Fraction_size	River_part	Riverine_vs_Lentic	Max_depth	distance_from_source_of_the_river	T	DO	TDS	ntu	Transparancy	Color		name_of_hpp	HPP	site_after_HPP
1	Kamenniki	3um	Upper_Volga	flowing	18	2645	16,28	93,38	0,11						HPP0	b_HPP
2	Rybinsk_(Kopaevo)	3um	Upper_Volga	flowing	5	2623	17,5	105,62	0,1	6,07	160	50	After the hydropower plant	Rybinsk Hydroelectric Station	HPP1	HPP
3	Nizhe_g._Tutaev_ili_vyshe_g._YAroslavl'_(Tolga)	3um	Upper_Volga	flowing	7	2549	17,5	94,55	0,1	8		50			HPP1	normal
4	Nizhe_g._YAroslavl'_(Tunoshna)	3um	Upper_Volga	flowing	6,5	2524	17,6	87,48	0,12	6,98	150	50			HPP1	normal
5	Krasnyj_Profintern	3um	Upper_Volga	flowing	7,5	2494	17,57	91,7	0,12	5,18	180	50			HPP1	normal
6	Nizhe_g._Kostroma	3um	Upper_Volga	flowing	6,5	2449	18,33	100,15	0,12	6,38	170	45			HPP1	normal
7	Volgorechensk	3um	Upper_Volga	flowing	14,5	2422	17,98	95,07	0,12	4,88	160	45			HPP1	normal
8	Nizhe_g._Ples	3um	Upper_Volga	flowing	11,8	2400	18,13	99,7	0,12	5,68	160	45			HPP1	normal
9	Nizhe_g._Kineshma	3um	Upper_Volga	flowing	15,5	2349	17,47	95,89	0,11	6,85		40			HPP1	normal
10	Centr_razliva	3um	Upper_Volga	reach	11,7	2281	18,09	96,42	0,1	10,52	110	65			HPP1	normal
11	Puchezh	3um	Upper_Volga	reach	18,9	2249	17,29	88,12	0,11	7,46	160	45			HPP1	normal
12	Chkalovsk_razrez	3um	Upper_Volga	reach	19,5	2225	17,03	85,75	0,11	5,83	170	45			HPP1	b_HPP
13	Gorodec	3um	Upper_Volga	flowing	5,4	2205	18,5	105,26	0,11	6,2	180	40	After the hydropower plant	Nizhny Novgorod Hydroelectric Station	HPP2	HPP
14	Nizhe_Kstovo	3um	Middle_Volga	flowing	10	2128	19,53	116,34	0,16	10,18	100	30			HPP2	normal
15	Makar'ev_(levyj_bereg)	3um	Middle_Volga	flowing	14	2065	19,91	117,77	0,16	11,96					HPP2	normal
16	Razrez_LB_Volgi_–_r._Sura	3um	Middle_Volga	flowing	2	1991	20,8	91,06	0,34	11,8	90	20			HPP2	normal
17	Vasil'sursk	3um	Middle_Volga	flowing	9,8	2024	19,9	82,15	0,19	10,39	130	35			HPP2	normal
18	U_Vetlugi	3um	Middle_Volga	flowing	8	1957	19,3	81,36	0,18	8,85	130	35			HPP2	normal
19	Koz'modem'yansk	3um	Middle_Volga	flowing	9,9	1941	19,5	82,33	0,18	9,49	150	20			HPP2	normal
20	Il'inka	3um	Middle_Volga	reach	17	1918	19,14	94,41	0,17	4,22	200	30			HPP2	normal
21	Priplotinnyj_uchastok_26_m_gl.	3um	Middle_Volga	reach	26,5	1879	18,74	95,61	0,17	3,42	220	30			HPP2	b_HPP
22	Nizhe_Novocheboksarska	3um	Middle_Volga	reach	8	1868	19,1	95,29	0,17	4,54	220	35	After the hydropower plant	Cheboksary Hydroelectric Station	HPP3	HPP
23	Nizhe_Zvenigovo	3um	Middle_Volga	flowing	9,2	1828	19,08	106,77	0,17	5,22	220	30			HPP3	normal
24	Nizhe_Sviyazhska	3um	Middle_Volga	flowing	16	1771	18,9	99,47	0,17	2,97	240	30			HPP3	normal
