"mindex","n","predictors","rsquare","adjr","rmse","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
1,1,"distance_from_source_of_the_river",0.268574774634804,0.263196647977707,0.402648292182715,0.245128316797051,20.0184327963889,146.552092239159,-245.512589713901,155.333853294631,22.702394330552,0.166894048585824,0.752937731993584,0.00121859146586475
2,1,"Color",0.192948302359049,0.187014098699924,0.422952476281601,0.169587484748896,35.9433289223267,160.130289456542,-232.319265463895,168.912050512014,25.0497320157891,0.184150232404289,0.83078851227745,0.00134458899850751
3,1,"Transparancy",0.15916891228745,0.152986330760152,0.431713146982768,0.136323474701702,43.0563577586619,165.788712442616,-226.817988714706,174.570473498087,26.0981960378879,0.191857895432994,0.865561413821743,0.00140086717300281
4,1,"TDS",0.155465739249391,0.149255928508578,0.432662774157761,0.116023851350637,43.8361461606969,166.395155077902,-226.228255472002,175.176916133373,26.2131372398984,0.192702872499004,0.869373503713862,0.00140703684681813
5,1,"Riverine_vs_Lentic",0.14098988296113,0.13467363210055,0.436355077331816,0.115371302875692,46.8843712171825,168.740519575641,-223.947257771335,177.522280631113,26.6624471438116,0.196005922734233,0.88427512048119,0.00143115435647218
6,1,"Max_depth",0.0450984871270325,0.0380771524735548,0.460066048694093,0.0118069452328197,67.0765138899372,183.344715634432,-209.733903850205,192.126476689903,29.6387791127368,0.217886085901025,0.982986851486878,0.00159091427800749
7,1,"T",0.0102717704577544,0.00299435700523787,0.468380572502885,-0.0160826198803898,74.4100814711864,188.288176825981,-204.918511113303,197.069937881453,30.7197506565738,0.225832724248076,1.01883788335231,0.00164893735165262
8,1,"Fraction_size",0.00558949077993,-0.00172235119962938,0.469487189997127,-0.0238729313141766,75.3960433342502,188.939498008699,-204.283894035819,197.721259064171,30.8650819302646,0.226901110441146,1.02365787713831,0.00165673826671313
9,1,"ntu",0.00534665720798972,-0.00196697031253978,0.469544510535788,-0.0166533049794599,75.4471775375611,188.973193290086,-204.25106183241,197.754954345557,30.8726191375083,0.226956519355889,1.02390785287413,0.00165714283974141
10,1,"DO",0.000946430991236363,-0.00639955113382795,0.47058196849746,-0.0252543783918833,76.3737465460549,189.582342207896,-203.657497272315,198.364103263367,31.0091958746129,0.227960547577149,1.02843749750902,0.0016644738394522
11,2,"distance_from_source_of_the_river Transparancy",0.368413450099817,0.359056612323518,0.374159977427679,0.342570888970807,0.995099454404595,128.29921121816,-263.104863007313,140.008225958788,19.7498395473799,0.146217719317956,0.65965706322908,0.00106796047771133
12,2,"distance_from_source_of_the_river ntu",0.32558563834203,0.315594314465615,0.386637789615004,0.298025487780926,10.0134819469412,137.35335189469,-254.444848313961,149.062366635318,21.0890739096622,0.156132726152082,0.704388333287213,0.00114037875563604
13,2,"distance_from_source_of_the_river T",0.323239858135327,0.313213781959554,0.38730961692916,0.292968900836467,10.5074400148227,137.832517232574,-253.986295822905,149.541531973202,21.1624269326218,0.156675794448738,0.706838370391992,0.00114434527542743
14,2,"Max_depth distance_from_source_of_the_river",0.295543089137157,0.285106690457708,0.395155572988131,0.25780359650456,16.3396328442288,143.367732040732,-248.68723455997,155.076746781361,22.0285105181275,0.163087834724182,0.735766106901191,0.0011911782148797
15,2,"distance_from_source_of_the_river DO",0.286460585907533,0.275889631624682,0.397694768442825,0.256090082737162,18.252163154619,145.135582301813,-246.994015742646,156.844597042442,22.3125222367146,0.165190512351094,0.745252276941021,0.00120653597461898
16,2,"Riverine_vs_Lentic Transparancy",0.285957106301665,0.27537869306169,0.397835052141632,0.255501520627244,18.3581823855006,145.232921962177,-246.90077383848,156.941936702805,22.3282661461326,0.16530707221087,0.74577813341826,0.00120738731687838
17,2,"distance_from_source_of_the_river Color",0.278540195827124,0.26785190243197,0.39989591160134,0.247883596197053,19.9199837670563,146.658962825861,-245.534625831231,158.367977566489,22.5601944413641,0.167024150787265,0.753524684358337,0.00121992869739825
18,2,"TDS Transparancy",0.278413079980857,0.267722903387981,0.3999311393909,0.242268541333462,19.9467509371602,146.683275256686,-245.511332222519,158.392289997315,22.5641693796652,0.167053579199149,0.753657449797772,0.00122014363975243
19,2,"Riverine_vs_Lentic Color",0.276142867079663,0.265419057703065,0.400559764862478,0.243683758460928,20.4247965678417,147.116760921294,-245.095998987712,158.825775661923,22.635159397651,0.167579153014536,0.75602856105013,0.00122398238149709
20,2,"Transparancy Color",0.275481108591027,0.264747495384968,0.400742821198353,0.247208958638957,20.5641450641401,147.24286446934,-244.975171469964,158.951879209969,22.6558527198437,0.167732355797216,0.75671973102715,0.00122510136022101
21,2,"Fraction_size distance_from_source_of_the_river",0.274164265414734,0.263411143420879,0.40110683922968,0.239690152779298,20.8414367341805,147.493457538107,-244.73505673401,159.202472278736,22.6970306731186,0.168037216320239,0.758095100566833,0.00122732803282486
22,2,"Riverine_vs_Lentic distance_from_source_of_the_river",0.273254832477097,0.262488237402684,0.401358043161179,0.240217164610549,21.0329387919861,147.666255847116,-244.569479022625,159.375270587745,22.7254688255781,0.168247757868401,0.759044952746143,0.00122886580850213
23,2,"distance_from_source_of_the_river TDS",0.269007192548983,0.258177669475635,0.402529251937734,0.235606771058797,21.9273772419107,148.470482641142,-243.798805919244,160.179497381771,22.8582933878626,0.169231123050688,0.763481376671062,0.0012360482153591
24,2,"ntu Transparancy",0.259869808604209,0.248904916879827,0.405037239464347,0.233809106765094,23.8514639512943,150.184785525484,-242.155738294197,161.893800266113,23.1440212375463,0.17134650603525,0.773024866568938,0.00125149877383638
25,2,"Riverine_vs_Lentic TDS",0.233308674391459,0.221950284382444,0.412240986869782,0.188584624723501,29.4445227122903,155.050413196195,-237.490101286284,166.759427936824,23.974593292922,0.177495637088944,0.800766495635587,0.00129641144904595
26,2,"T Transparancy",0.230616974026774,0.219218706975319,0.412964000788042,0.202044313806294,30.0113222392265,155.534055189365,-237.026157089428,167.243069929994,24.0587633093996,0.178118788877837,0.803577827127591,0.00130096289113695
27,2,"Max_depth Color",0.229971752847606,0.218563926963867,0.413137124752718,0.191618269813483,30.1471884240069,155.649736462452,-236.915182354942,167.35875120308,24.0789395065703,0.178268163131118,0.804251724803612,0.00130205390664202
28,2,"Max_depth TDS",0.213879924184289,0.202233700838871,0.417431614863399,0.161954809741467,33.5356936950888,158.503900788167,-234.176531952864,170.212915528795,24.5821342534734,0.181993559891353,0.821058745851965,0.00132926385439857
29,2,"T Color",0.211341187693159,0.199657353436762,0.41810510908058,0.177345008556885,34.0702831542526,158.948846985919,-233.749487272412,170.657861726548,24.6615210585927,0.182581299227697,0.823710315076034,0.00133355664726485
30,2,"ntu Color",0.209515648360524,0.197804769076976,0.418588731484334,0.180050801626606,34.4546925200633,159.26791183815,-233.443241531302,170.976926578779,24.7186060438773,0.183003927286805,0.825616989490119,0.00133664348288235
31,2,"Fraction_size Color",0.198537793138979,0.186664278963261,0.421485286186725,0.162648059871229,36.7663328601183,161.171201903451,-231.616109026945,172.88021664408,25.0618858037679,0.18554539520399,0.837082749388177,0.00135520612565633
32,2,"DO Color",0.198528872785678,0.186655226456577,0.421487631766573,0.163697935963834,36.7682112460254,161.172737848496,-231.61463432433,172.881752589124,25.0621647450253,0.185547460342514,0.837092066201625,0.00135522120923398
33,2,"TDS Color",0.197295940765368,0.185404028776707,0.421811702015774,0.15221585554318,37.0278334889113,161.384865119559,-231.410961794758,173.093879860188,25.1007187794293,0.185832894711109,0.838379795200615,0.00135730599503191
34,2,"T TDS",0.18196659844788,0.169847585091553,0.425820350181433,0.130803285051164,40.2557796926535,163.995420346468,-228.903904683277,175.704435087097,25.5800704236103,0.189381769323245,0.854390441621103,0.0013832266416115
35,2,"TDS ntu",0.177992638276838,0.165814751436495,0.426853402707479,0.132737368837968,41.0925885643103,164.664193451604,-228.26148074656,176.373208192233,25.7043369643689,0.190301775287529,0.858541022244191,0.00138994627869583
36,2,"DO TDS",0.166459781866712,0.154111037894367,0.429837373599917,0.116557358333855,43.5210971915136,166.586892562464,-226.414155962722,178.295907303092,26.0649717240214,0.192971730754087,0.870586450050324,0.00140944738245284
37,2,"Fraction_size Transparancy",0.16475840306738,0.152384453483193,0.430275830784082,0.129300022992156,43.8793616964535,166.868283878619,-226.143748481599,178.577298619248,26.1181741842407,0.193365614581685,0.872363445685181,0.00141232427290529
38,2,"DO Transparancy",0.164076235552965,0.151692179783379,0.430451504677597,0.131933196628975,44.0230077833414,166.980946723833,-226.035479916519,178.689961464461,26.1395057008099,0.193523542229394,0.873075931755792,0.00141347776159926
39,2,"Max_depth Transparancy",0.162247730798884,0.149836586069979,0.430922033635459,0.122762752905258,44.408041586959,167.282479100927,-225.745698863788,178.991493841556,26.1966834154247,0.193946856809076,0.874985703387832,0.00141656961149849
40,2,"Fraction_size TDS",0.161055230029321,0.148626418622348,0.431228623146768,0.108107190634979,44.6591500984885,167.478775903632,-225.557044634262,179.187790644261,26.2339731564154,0.194222930995326,0.876231204191598,0.00141858603140442
41,2,"Riverine_vs_Lentic ntu",0.160626868989994,0.148191711493549,0.431338700695584,0.128703841586456,44.7493513844988,167.549220036626,-225.489341711299,179.258234777254,26.2473680930182,0.194322100260766,0.87667860349934,0.00141931035439747
