>KC172873.1.1702_U,k:Eukaryota,d:TSAR,p:Rhizaria-Radiolaria,c:Acantharea,o:Acantharea_C,f:Acantharea_C3,g:Litholophus,s:Litholophus_spB
>GQ344772.1.850_U,k:Eukaryota,d:TSAR,p:Rhizaria-Radiolaria,c:Acantharea,o:Acantharea_3,f:Acantharea_3b,g:Acantharea_3b_X,s:Acantharea_3b_X_sp.
>KC172863.1.824_U,k:Eukaryota,d:TSAR,p:Rhizaria-Radiolaria,c:Acantharea,o:Acantharea_E,f:Acantharea_E2,g:Lychnaspis_E2,s:Lychnaspis_E2_giltschii
>JX014222.1.1744_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Acanthocephala,o:Acanthocephala_X,f:Acanthocephala_XX,g:Echinorhynchus,s:Echinorhynchus_gadi
>EF107647.1.812_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Acanthocephala,o:Acanthocephala_X,f:Acanthocephala_XX,g:Echinorhynchus,s:Echinorhynchus_gadi
>AY423347.1.1662_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Acanthocephala,o:Acanthocephala_X,f:Acanthocephala_XX,g:Pomphorhynchus,s:Pomphorhynchus_tereticollis
>AB771798.1.1671_U,k:Eukaryota,d:TSAR,p:Alveolata-Alveolata_X,c:Alveolata_XX,o:Alveolata_XXX,f:Alveolata_XXXX,g:Alveolata_XXXXX,s:Alveolata_XXXXX_sp.
>AB771904.1.1576_U,k:Eukaryota,d:TSAR,p:Alveolata-Alveolata_X,c:Alveolata_XX,o:Alveolata_XXX,f:Alveolata_XXXX,g:Alveolata_XXXXX,s:Alveolata_XXXXX_sp.
>GU824274.1.1380_U,k:Eukaryota,d:TSAR,p:Alveolata-Alveolata_X,c:Alveolata_XX,o:Alveolata_XXX,f:Alveolata_XXXX,g:Alveolata_XXXXX,s:Alveolata_XXXXX_sp.
>EU446346.1.1543_U,k:Eukaryota,d:Amoebozoa,p:Amoebozoa_X-Amoebozoa_XX,c:Amoebozoa_XXX,o:UI13E03-lineage,f:UI13E03-lineage_X,g:UI13E03-lineage_XX,s:UI13E03-lineage_XX_sp.
>HQ867836.1.875_U,k:Eukaryota,d:Eukaryota_X,p:Ancyromonadida-Ancyromonadida_X,c:Ancyromonadida_XX,o:Ancyromonadida_XXX,f:Ancyromonadida_Group-1,g:Ancyromonadida_Group-1_X,s:Planomonadidae_Group-1_X_sp.
>HQ867533.1.869_U,k:Eukaryota,d:Eukaryota_X,p:Ancyromonadida-Ancyromonadida_X,c:Ancyromonadida_XX,o:Ancyromonadida_XXX,f:Ancyromonadida_Group-1,g:Ancyromonadida_Group-1_X,s:Planomonadidae_Group-1_X_sp.
>FJ153649.1.1201_U,k:Eukaryota,d:Eukaryota_X,p:Ancyromonadida-Ancyromonadida_X,c:Ancyromonadida_XX,o:Ancyromonadida_XXX,f:Ancyromonadida_Group-1,g:Ancyromonadida_Group-1_X,s:Planomonadidae_Group-1_X_sp.
>AF411879.1.1769_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Annelida,o:Annelida_X,f:Annelida_XX,g:Tubifex,s:Tubifex_ignotus
>DQ459973.1.1689_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Annelida,o:Annelida_X,f:Annelida_XX,g:Stylaria,s:Stylaria_lacustris
>AY176284.1.1749_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Annelida,o:Annelida_X,f:Annelida_XX,g:Chrysopetalidae,s:Chrysopetalidae_sp.
>JX507298.99.1890_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Aphelidiomycota,o:Aphelidiales,f:Aphelidiaceae,g:Amoeboaphelidium,s:Amoeboaphelidium_protococcarum
>KJ566931.1.1276_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Aphelidiomycota,o:Aphelidiales,f:Aphelidiaceae,g:Aphelidium,s:Aphelidium_sp.
>KJ541118.1.3804_U,k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Aphelidiomycota,o:Aphelidiales,f:Aphelidiaceae,g:Amoeboaphelidium,s:Amoeboaphelidium_protococcarum
>AY050182.1.1804_U,k:Eukaryota,d:Obazoa,p:Apusomonada-Apusomonada_X,c:Apusomonadidae,o:Apusomonadidae_Group-1,f:Apusomonadidae_Group-1_X,g:Amastigomonas,s:Amastigomonas_mutabilis
>FN598468.1.1142_U,k:Eukaryota,d:Obazoa,p:Apusomonada-Apusomonada_X,c:Apusomonadidae,o:Apusomonadidae_Group-1,f:Apusomonadidae_Group-1_X,g:Apusomonadidae_Group-1_XX,s:Apusomonadidae_Group-1_XX_sp.
>HQ870773.1.851_U,k:Eukaryota,d:Obazoa,p:Apusomonada-Apusomonada_X,c:Apusomonadidae,o:Apusomonadidae_Group-1,f:Apusomonadidae_Group-1_X,g:Apusomonadidae_Group-1_XX,s:Apusomonadidae_Group-1_XX_sp.
>AF421220.1.2529_U,k:Eukaryota,d:Amoebozoa,p:Evosea-Evosea_X,c:Archamoebea,o:Mastigamoebida,f:Mastigamoebidae,g:Mastigamoeba,s:Mastigamoeba_sp.
>AF149908.1.1934_U,k:Eukaryota,d:Amoebozoa,p:Evosea-Evosea_X,c:Archamoebea,o:Archamoebea_X,f:Entamoebidae,g:Entamoeba,s:Entamoeba_ranarum
>JX157652.1.938_U,k:Eukaryota,d:Amoebozoa,p:Evosea-Evosea_X,c:Archamoebea,o:Mastigamoebida,f:Mastigamoebidae,g:Mastigamoeba,s:Mastigamoeba_abducta
